ticker,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
BBCA,2021-04-27T00:00:00Z,61.31,61.5,61.07,61.14,109486,61.31,61.5,61.07,61.14,109486,0,1
BBCP,2021-04-27T00:00:00Z,7.9,7.92,7.67,7.79,120639,7.9,7.92,7.67,7.79,120639,0,1
BBD,2021-04-27T00:00:00Z,4.26,4.355,4.245,4.28,22730951,4.26,4.355,4.245,4.28,22730951,0,1
BBDC,2021-04-27T00:00:00Z,10.32,10.34,10.26,10.31,117055,10.32,10.34,10.26,10.31,117055,0,1
BBDO,2021-04-27T00:00:00Z,3.81,3.85,3.75,3.75,12619,3.81,3.85,3.75,3.75,12619,0,1
BBEU,2021-04-27T00:00:00Z,57.83,57.879,57.6,57.675,2874886,57.83,57.879,57.6,57.675,2874886,0,1
BBGI,2021-04-27T00:00:00Z,2.84,2.8704,2.77,2.86,41758,2.84,2.8704,2.77,2.86,41758,0,1
BBH,2021-04-27T00:00:00Z,191.21,192,191.1863,192,16789,191.21,192,191.1863,192,16789,0,1
BBI,2021-04-27T00:00:00Z,1.02,1.03,1,1.03,1179110,1.02,1.03,1,1.03,1179110,0,1
BBIG,2021-04-27T00:00:00Z,2.58,2.61,2.5,2.6,646569,2.58,2.61,2.5,2.6,646569,0,1
BBIN,2021-04-27T00:00:00Z,59.6452,59.6452,59.49,59.53,64102,59.6452,59.6452,59.49,59.53,64102,0,1
BBIO,2021-04-27T00:00:00Z,55.32,56.155,54.32,55.85,364623,55.32,56.155,54.32,55.85,364623,0,1
BBJP,2021-04-27T00:00:00Z,56.47,56.57,56.37,56.43,318574,56.47,56.57,56.37,56.43,318574,0,1
BBKCF,2021-04-27T00:00:00Z,2.417,2.5,2.24,2.35,2682762,2.417,2.5,2.24,2.35,2682762,0,1
BBL,2021-04-27T00:00:00Z,61.64,62.07,61.565,61.8,1181869,61.64,62.07,61.565,61.8,1181869,0,1
BBLS,2021-04-27T00:00:00Z,0.04,0.04,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0,1
BBMC,2021-04-27T00:00:00Z,90.7363,90.77,90.54,90.58,27603,90.7363,90.77,90.54,90.58,27603,0,1
BBN,2021-04-27T00:00:00Z,24.8,25,24.73,24.99,114101,24.8,25,24.73,24.99,114101,0,1
BBP,2021-04-27T00:00:00Z,54.2199,54.365,54.2199,54.365,1279,54.2199,54.365,54.2199,54.365,1279,0,1
BBQ,2021-04-27T00:00:00Z,13.95,14.28,13.31,13.39,69670,13.95,14.28,13.31,13.39,69670,0,1
BBRE,2021-04-27T00:00:00Z,91.97,92.29,91.6,92.29,18311,91.97,92.29,91.6,92.29,18311,0,1
BBRRF,2021-04-27T00:00:00Z,0.10946,0.1095,0.096705,0.10305,58256,0.10946,0.1095,0.096705,0.10305,58256,0,1
BBRW,2021-04-27T00:00:00Z,0.0041,0.0043,0.004,0.0043,26585521,0.0041,0.0043,0.004,0.0043,26585521,0,1
BBSC,2021-04-27T00:00:00Z,67.1749,67.1749,67.1749,67.1749,224,67.1749,67.1749,67.1749,67.1749,224,0,1
BBSEY,2021-04-27T00:00:00Z,4.08,4.16,4.04,4.14,588031,4.08,4.16,4.04,4.14,588031,0,1
BBSI,2021-04-27T00:00:00Z,69.65,70.16,68.6635,69.25,31500,69.65,70.16,68.6635,69.25,31500,0,1
BBSRF,2021-04-27T00:00:00Z,1.24,1.24,1.22,1.22,28721,1.24,1.24,1.22,1.22,28721,0,1
BBTVF,2021-04-27T00:00:00Z,7.65,7.65,7.637,7.637,2000,7.65,7.65,7.637,7.637,2000,0,1
BBU,2021-04-27T00:00:00Z,43.21,43.69,42.33,42.44,18019,43.21,43.69,42.33,42.44,18019,0,1
BBUS,2021-04-27T00:00:00Z,76.79,76.86,76.59,76.86,31241,76.79,76.86,76.59,76.86,31241,0,1
BBVA,2021-04-27T00:00:00Z,5.46,5.47,5.3742,5.4,1177422,5.46,5.47,5.3742,5.4,1177422,0,1
BBW,2021-04-27T00:00:00Z,7.78,7.97,7.76,7.95,203193,7.78,7.97,7.76,7.95,203193,0,1
BBXIA,2021-04-27T00:00:00Z,6.5,6.5,6.47,6.5,13576,6.5,6.5,6.47,6.5,13576,0,1
BBXIB,2021-04-27T00:00:00Z,6.76,6.76,6.76,6.76,0,6.76,6.76,6.76,6.76,0,0,1
BBY,2021-04-27T00:00:00Z,118.35,119.275,117,117.45,1327766,118.35,119.275,117,117.45,1327766,0,1
BC,2021-04-27T00:00:00Z,107.09,108.95,105.92,107.23,697491,107.09,108.95,105.92,107.23,697491,0,1
BCAB,2021-04-27T00:00:00Z,53.75,55.125,52.84,54.15,67538,53.75,55.125,52.84,54.15,67538,0,1
BCAC,2021-04-27T00:00:00Z,9.8873,9.8873,9.86,9.86,4965,9.8873,9.8873,9.86,9.86,4965,0,1
BCACU,2021-04-27T00:00:00Z,10.6899,10.8,10.56,10.8,6748,10.6899,10.8,10.56,10.8,6748,0,1
BCAL,2021-04-27T00:00:00Z,13.75,14.05,13.75,14.05,2559,13.75,14.05,13.75,14.05,2559,0,1
